Time,Iter,Assembly_ID,Mass,Altitude,Distance,Velocity,FlightPathAngle,HeadingAngle,Latitude,Longitude,AngleAttack,AngleSideslip,ECEF_X,ECEF_Y,ECEF_Z,ECEF_vU,ECEF_vV,ECEF_vW,BODY_COM_X,BODY_COM_Y,BODY_COM_Z,Aero_Fx_B,Aero_Fy_B,Aero_Fz_B,Aero_Mx_B,Aero_My_B,Aero_Mz_B,Lift,Drag,Crosswind,Inertia_xx,Inertia_xy,Inertia_xz,Inertia_yy,Inertia_yz,Inertia_zz,Roll,Pitch,Yaw,distRoll,distPitch,distYaw,VelRoll,VelPitch,VelYaw,magnitudeOmega,angularMomentum_x,angularMomentum_y,angularMomentum_z,magnitudeAngularMomentum,Quat_w,Quat_x,Quat_y,Quat_z,Quat_prev_w,Quat_prev_x,Quat_prev_y,Quat_prev_z,Mach,Speedsound,Density,Temperature,Pressure,SpecificHeatRatio,qmax,Tmax,knudsen,N2_mass_pct,O2_mass_pct,O_mass_pct,He_mass_pct,Ar_mass_pct,N_mass_pct,H_mass_pct,Pstag,Tstag,Rhostag,Aref,Lref,Temperature_obj_0,Temperature_obj_1,Temperature_obj_2,Temperature_obj_3,Temperature_obj_4,Temperature_obj_5,Temperature_obj_6,Temperature_obj_7,Temperature_obj_8,Mass_obj_0,Mass_obj_1,Mass_obj_2,Mass_obj_3,Mass_obj_4,Mass_obj_5,Mass_obj_6,Mass_obj_7,Mass_obj_8
0,0,1,557672.3382391419,99997.9652643537,0,8000.0,-0.085981969427,44.999997264078,19.999875016608,-32.000007999523,0.0,-0.0,5164450.088419028,-3227107.582311301,2201884.899485089,1356.908117533336,5822.550065964953,5315.704195109398,-10.539127582763,9.336696822732,2.034751030906,-266.681563060246,0.0,0.0,0.0,9.267459239853,-23.120444198585,-0.0,266.681563060246,0.0,1812614.177280281,16681.022698858753,6939.383117555664,1739154.7686712062,-1980.292142112534,1741693.1950712083,-8.3061213e-05,-9.3691995e-05,44.999997264078,-8.3061213e-05,-9.3691995e-05,44.999997264078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.569889404238,-0.509934137202,-0.641075071563,0.064930695936,0.569889404238,-0.509934137202,-0.641075071563,0.064930695936,29.102122835679,274.89403591521,4.34247e-07,182.1,0.023224673809,1.412920397067,76557.22850348603,300.0,0.031336883348,0.772023860402,0.193697932519,0.022765319233,1.645361e-06,0.011510353886,8.88036e-07,5.63e-10,25.512583329423,32023.754475807476,2.712559e-06,1.0,4.5,300,300,300,300,300,300,300,300,300,368488.8493275145,1025.197600918998,2474.595926997084,1680.506825553056,2797.734028916497,49423.37379669334,41099.7674711633,50387.86317143311,40294.450089951955
0.1,1,1,557672.3382391419,99998.01347869137,0,7999.999216428708,-0.08513375661,45.002109255866,20.004905504964,-31.994685596482,0.006230527542,0.000291406059,5164585.77923078,-3226525.3273047046,2202416.4699045997,1356.238304036982,5823.001844843304,5315.379068370788,-10.539127582763,9.336696822732,2.034751030906,-268.492425280958,0.114880262187,0.104860822061,-0.005275550469,7.717356030689,-21.676412007877,-0.536605705155,268.49190894273,0.116245959157,1812614.177280281,16681.022698858753,6939.383117555664,1739154.7686712062,-1980.292142112534,1741693.1950712083,-6.2342746e-05,0.006999886424,45.001817843028,-8.3060125e-05,-9.0647534e-05,44.999989661696,1.0874e-08,3.0444616e-05,-7.6023822e-05,8.1893201e-05,0.0,0.926745923985,-2.312044419858,2.490864790996,0.569889404238,-0.509934137202,-0.641075071563,0.064930695936,0.569889404238,-0.509934137202,-0.641075071563,0.064930695936,29.102722361131,274.888346085221,4.34417e-07,182.093918644999,0.023232855695,1.412917443169,76575.67707708017,300.0,0.031324680358,0.772024078856,0.193703847017,0.022758706095,1.645028e-06,0.011510834576,8.87866e-07,5.62e-10,25.522582133633,32023.76912724853,2.713637e-06,1.0,4.5,300,300,300,300,300,300,300,300,300,368488.8493275145,1025.197600918998,2474.595926997084,1680.506825553056,2797.734028916497,49423.37379669334,41099.7674711633,50387.86317143311,40294.450089951955
0.2,2,1,557672.3382391419,99998.07374345702,0,7999.998419680075,-0.084285544745,45.004221864108,20.009935804507,-31.989362828662,0.012464101291,0.000590468991,5164721.403061186,-3225943.0271202205,2202948.007811437,1355.568476583778,5823.453548741603,5315.053864809352,-10.539127582763,9.336696822732,2.034751030906,-268.493468124073,0.11437427986,0.094339641347,-0.00455748199,7.704775520627,-21.675908390889,-0.55536682355,268.492909128572,0.117141384413,1812614.177280281,16681.022698858753,6939.383117555664,1739154.7686712062,-1980.292142112534,1741693.1950712083,-4.1662471e-05,0.014096504472,45.003631386054,-8.305674e-05,-8.5068757e-05,44.999974931384,3.3857e-08,5.5787764e-05,-0.000147303118,0.000157513442,-0.000527555161,1.69848152701,-4.479685620664,4.790868714116,0.569889425582,-0.50993409639,-0.641075090252,0.064930644586,0.569889425582,-0.50993409639,-0.641075090252,0.064930644586,29.102701193658,274.888518644565,4.34412e-07,182.094103066938,0.023232607434,1.412917532776,76575.09243062638,300.0,0.031325050484,0.772024072232,0.193703667597,0.022758906704,1.645038e-06,0.011510819996,8.87871e-07,5.62e-10,25.522273514122,32023.7621511142,2.713604e-06,1.0,4.5,300,300,300,300,300,300,300,300,300,368488.8493275145,1025.197600918998,2474.595926997084,1680.506825553056,2797.734028916497,49423.37379669334,41099.7674711633,50387.86317143311,40294.450089951955
0.3,3,1,557672.3382391419,99998.14605855178,0,7999.997608524465,-0.083437333683,45.006335098582,20.014965915156,-31.984039695976,0.018700210939,0.00089672406,5164856.959908844,-3225360.6817653463,2203479.513197918,1354.898635781465,5823.905177385396,5314.72858271975,-10.539127582763,9.336696822732,2.034751030906,-268.49389723334,0.113855812451,0.083809357094,-0.003838915903,7.692142354034,-21.675338902859,-0.574129799044,268.493294657391,0.118058015453,1812614.177280281,16681.022698858753,6939.383117555664,1739154.7686712062,-1980.292142112534,1741693.1950712083,-2.1021832e-05,0.02119565198,45.00543836766,-8.3050791e-05,-7.6959813e-05,44.999953073303,5.9484e-08,8.1089441e-05,-0.000218580815,0.000233137457,-0.000983303849,2.468959078673,-6.647276459904,7.090983305117,0.569889465154,-0.509934017127,-0.641075128056,0.064930546522,0.569889465154,-0.509934017127,-0.641075128056,0.064930546522,29.102676320343,274.888725712565,4.34406e-07,182.094324370778,0.023232309537,1.4129176403,76574.39444627166,300.0,0.031325494626,0.772024064283,0.193703452301,0.022759147427,1.64505e-06,0.011510802499,8.87877e-07,5.62e-10,25.521904112989,32023.75493358467,2.713565e-06,1.0,4.5,300,300,300,300,300,300,300,300,300,368488.8493275145,1025.197600918998,2474.595926997084,1680.506825553056,2797.734028916497,49423.37379669334,41099.7674711633,50387.86317143311,40294.450089951955
0.4,4,1,557672.3382391419,99998.23042388077,0,7999.996782962142,-0.082589123434,45.008448959342,20.01999583683,-31.978716198336,0.024938852323,0.001210171097,5164992.449772421,-3224778.2912476077,2204010.98605619,1354.228781642952,5824.356730765706,5314.403222108637,-10.539127582763,9.336696822732,2.034751030906,-268.493712625219,0.113324860265,0.073270012396,-0.003119854739,7.679456558087,-21.674703542187,-0.592894454487,268.493065546297,0.118995842134,1812614.177280281,16681.022698858753,6939.383117555664,1739154.7686712062,-1980.292142112534,1741693.1950712083,-4.23222e-07,0.028297324783,45.007238788059,-8.3042015e-05,-6.6324865e-05,44.999924087633,8.7759e-08,0.000106349477,-0.000289856697,0.000308750909,-0.001367196562,3.238173313011,-8.814810350586,9.390774717302,0.569889522931,-0.509933899408,-0.641075184994,0.064930401766,0.569889522931,-0.509933899408,-0.641075184994,0.064930401766,29.102647740986,274.888967291296,4.34398e-07,182.09458255925,0.023231962004,1.412917765743,76573.58312563245,300.0,0.031326012785,0.772024055009,0.193703201128,0.022759428265,1.645064e-06,0.011510782087,8.87885e-07,5.62e-10,25.521473933202,32023.747474662017,2.713519e-06,1.0,4.5,300,300,300,300,300,300,300,300,300,368488.8493275145,1025.197600918998,2474.595926997084,1680.506825553056,2797.734028916497,49423.37379669334,41099.7674711633,50387.86317143311,40294.450089951955
0.5,5,1,557672.3382391419,99998.32683934952,0,7999.995942993354,-0.081740914013,45.010563446446,20.025025569448,-31.973392335653,0.031180021265,0.001530809913,5165127.872650585,-3224195.855574531,2204542.426378401,1353.558914181148,5824.808208873559,5314.077782982673,-10.539127582763,9.336696822732,2.034751030906,-268.492914320014,0.112781423696,0.062721649914,-0.002400300972,7.666718160622,-21.674002307639,-0.611660612063,268.492221816272,0.11995485384,1812614.177280281,16681.022698858753,6939.383117555664,1739154.7686712062,-1980.292142112534,1741693.1950712083,2.0130966e-05,0.035401518694,45.009032647484,-8.3030147e-05,-5.3168096e-05,44.999887974578,1.18685e-07,0.000131567696,-0.000361130546,0.000384350548,-0.001679184053,4.006118966778,-10.982280705554,11.690144630894,0.56988959889,-0.509933743232,-0.641075261085,0.064930210337,0.56988959889,-0.509933743232,-0.641075261085,0.064930210337,29.102615455347,274.889243383223,4.3439e-07,182.094877635593,0.02323156484,1.412917909104,76572.6584706271,300.0,0.031326604966,0.77202404441,0.193702914078,0.022759749217,1.64508e-06,0.01151075876,8.87893e-07,5.62e-10,25.520982978135,32023.739774348087,2.713467e-06,1.0,4.5,300,300,300,300,300,300,300,300,300,368488.8493275145,1025.197600918998,2474.595926997084,1680.506825553056,2797.734028916497,49423.37379669334,41099.7674711633,50387.86317143311,40294.450089951955
0.6,6,1,557672.3382391419,99998.43530486061,0,7999.995088618358,-0.080892705431,45.01267855995,20.030055112927,-31.96806810784,0.037423713571,0.001858640299,5165263.228542003,-3223613.3747536433,2205073.8341566995,1352.889033408964,5825.259611699985,5313.752265348519,-10.539127582763,9.336696822732,2.034751030906,-268.491502342051,0.112225503268,0.052164312714,-0.001680257093,7.653927190496,-21.673235198375,-0.630428094144,268.49076349235,0.120935039519,1812614.177280281,16681.022698858753,6939.383117555664,1739154.7686712062,-1980.292142112534,1741693.1950712083,4.0638339e-05,0.042508229511,45.010819946188,-8.3014921e-05,-3.7493703e-05,44.999844734364,1.52262e-07,0.000156743926,-0.000432402147,0.000459935102,-0.001919217324,4.772790779507,-13.149680937533,13.989054445075,0.56988969301,-0.509933548596,-0.64107535635,0.064929972257,0.56988969301,-0.509933548596,-0.641075356351,0.064929972257,29.102579463149,274.889553991195,4.34381e-07,182.095209603537,0.023231118048,1.412918070383,76571.6204835085,300.0,0.031327271171,0.772024032486,0.193702591151,0.022760110284,1.645099e-06,0.011510732516,8.87902e-07,5.63e-10,25.520431251584,32023.73183264466,2.713408e-06,1.0,4.5,300,300,300,300,300,300,300,300,300,368488.8493275145,1025.197600918998,2474.595926997084,1680.506825553056,2797.734028916497,49423.37379669334,41099.7674711633,50387.86317143311,40294.450089951955
0.7,7,1,557672.3382391419,99998.55582031677,0,7999.994219837409,-0.080044497703,45.014794299909,20.035084467186,-31.96274351481,0.043669925026,0.002193662019,5165398.517445344,-3223030.848792474,2205605.2093832344,1352.219139339308,5825.710939236013,5313.42666921284,-10.539127582763,9.336696822732,2.034751030906,-268.489476719514,0.111657099619,0.041598044022,-0.000959725585,7.641083677477,-21.672402213935,-0.649196723031,268.488690603451,0.121936387674,1812614.177280281,16681.022698858753,6939.383117555664,1739154.7686712062,-1980.292142112534,1741693.1950712083,6.1096502e-05,0.049617453015,45.012600684445,-8.2996071e-05,-1.9305904e-05,44.999794367235,1.88494e-07,0.000181877994,-0.000503671283,0.000535503876,-0.002087247627,5.538183493613,-15.317004459164,16.287483119488,0.569889805268,-0.509933315497,-0.641075470809,0.064929687548,0.569889805268,-0.509933315497,-0.641075470809,0.064929687548,29.102539764075,274.889899118451,4.3437e-07,182.09557846732,0.02323062163,1.412918249581,76570.46916683496,300.0,0.031328011407,0.772024019236,0.193702232347,0.022760511467,1.645119e-06,0.011510703356,8.87912e-07,5.63e-10,25.519818757755,32023.723649553274,2.713343e-06,1.0,4.5,300,300,300,300,300,300,300,300,300,368488.8493275145,1025.197600918998,2474.595926997084,1680.506825553056,2797.734028916497,49423.37379669334,41099.7674711633,50387.86317143311,40294.450089951955
0.8,8,1,557672.3382391419,99998.68838562482,0,7999.993336650765,-0.079196290839,45.01691066638,20.040113632143,-31.957418556473,0.049918651401,0.00253587482,5165533.739359277,-3222448.2776985504,2206136.5520501556,1351.549231985092,5826.162191472677,5313.100994582302,-10.539127582763,9.336696822732,2.034751030906,-268.486837484242,0.111076213501,0.031022887189,-0.000238708924,7.628187652227,-21.671503354217,-0.667966320936,268.486003182178,0.122958886358,1812614.177280281,16681.022698858753,6939.383117555664,1739154.7686712062,-1980.292142112534,1741693.1950712083,8.150306e-05,0.056729184968,45.014374862551,-8.2973333e-05,1.391069e-06,44.999736873462,2.27383e-07,0.000206969727,-0.000574937738,0.000611056398,-0.002183226466,6.302291854487,-17.484244683042,18.585416312854,0.569889935642,-0.509933043933,-0.64107560448,0.06492935623,0.569889935642,-0.509933043933,-0.64107560448,0.06492935623,29.102496357771,274.890278768634,4.34359e-07,182.095984231693,0.023230075591,1.412918446697,76569.20452343333,300.0,0.031328825676,0.772024004661,0.193701837665,0.022760952766,1.645141e-06,0.01151067128,8.87924e-07,5.63e-10,25.519145501243,32023.715225075273,2.713271e-06,1.0,4.5,300,300,300,300,300,300,300,300,300,368488.8493275145,1025.197600918998,2474.595926997084,1680.506825553056,2797.734028916497,49423.37379669334,41099.7674711633,50387.86317143311,40294.450089951955
0.9,9,1,557672.3382391419,99998.8330006837,0,7999.992439058683,-0.078348084854,45.019027659419,20.045142607717,-31.952093232742,0.056169888449,0.002885278424,5165668.894282477,-3221865.6614794037,2206667.862149614,1350.879311359227,5826.613368401013,5312.775241463573,-10.539127582763,9.336696822732,2.034751030906,-268.483584672344,0.110482845782,0.020438885708,0.000482790422,7.615239146332,-21.670538619534,-0.68673670999,268.482701265434,0.124002523177,1812614.177280281,16681.022698858753,6939.383117555664,1739154.7686712062,-1980.292142112534,1741693.1950712083,0.00010185562,0.063843421115,45.016142480823,-8.294644e-05,2.4592964e-05,44.999672253332,2.6893e-07,0.000232018952,-0.000646201294,0.000686592295,-0.002207105589,7.06511061058,-19.651395021754,20.882842697106,0.569890084108,-0.509932733901,-0.641075757384,0.064928978326,0.569890084108,-0.509932733901,-0.641075757384,0.064928978326,29.102449243843,274.890692945753,4.34347e-07,182.096426901888,0.023229479936,1.412918661733,76567.82655651048,300.0,0.031329713986,0.77202398876,0.193701407105,0.022761434183,1.645165e-06,0.011510636288,8.87936e-07,5.63e-10,25.51841148709,32023.706559211954,2.713192e-06,1.0,4.5,300,300,300,300,300,300,300,300,300,368488.8493275145,1025.197600918998,2474.595926997084,1680.506825553056,2797.734028916497,49423.37379669334,41099.7674711633,50387.86317143311,40294.450089951955
